Sub_L [mm];Sub_W [mm];Sub_H [mm];R_out [mm];Ring_W [mm];Gap_W [mm];S [mm];t [mm];MS_W [mm];Freq [GHz];S(1,1) (Real);S(1,1) (Imag);S(1,2) (Real);S(1,2) (Imag);S(2,1) (Real);S(2,1) (Imag);S(2,2) (Real);S(2,2) (Imag)
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.78;0.0933500435695002;-0.15450369476137396;-0.9282342178484767;-0.20200414895522154;-0.9282342178484654;-0.20200414895521765;-0.016260494281568286;-0.17462603724184975
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.79;0.09138806442323837;-0.15550904599906812;-0.9313760671942657;-0.18607354785419333;-0.9313760671942545;-0.186073547854189;-0.02035922623208116;-0.174032078393603
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.8;0.08942618517206834;-0.15648541851064193;-0.9342464713060504;-0.17008183456245826;-0.9342464713060401;-0.17008183456245474;-0.02445737792223012;-0.17334335349559485
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.81;0.08746514477256473;-0.1574334254564506;-0.9368439657143737;-0.15403340231346613;-0.9368439657143629;-0.1540334023134622;-0.02855288649402459;-0.17255958937579768
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.82;0.08550565476711858;-0.15835370543006205;-0.9391671484876114;-0.13793268148092203;-0.9391671484876012;-0.13793268148091872;-0.03264368161022396;-0.17168055063459817
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.83;0.08354839844576871;-0.15924692155825584;-0.9412146811021838;-0.1217841388956272;-0.9412146811021729;-0.12178413889562374;-0.036727685960877554;-0.17070603951518074
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.84;0.08159403003539055;-0.16011376057636537;-0.9429852893072327;-0.10559227714334665;-0.9429852893072229;-0.10559227714334361;-0.0408028157478868;-0.1696358957673611
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.85;0.07964317391696857;-0.16095493187987023;-0.9444777639832305;-0.0893616338439408;-0.9444777639832193;-0.08936163384393737;-0.04486698114716571;-0.16846999650604158
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.86;0.07769642387164512;-0.16177116655316087;-0.9456909619939552;-0.07309678091196394;-0.9456909619939456;-0.07309678091196083;-0.048918086748007024;-0.16720825606547934
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.87;0.07575434235621085;-0.162563216376435;-0.9466238070313314;-0.05680232379900686;-0.9466238070313213;-0.05680232379900391;-0.05295403196930391;-0.16585062585059698
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.88;0.07381745980866299;-0.1633318528117041;-0.9472752904525924;-0.04048290071807174;-0.9472752904525829;-0.04048290071806855;-0.056972711452316006;-0.16439709418659443
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.89;0.07188627398441681;-0.16407786596891596;-0.9476444721093106;-0.02414318185027706;-0.9476444721093013;-0.024143181850273813;-0.060972015429705664;-0.1628476861681492
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.9;0.0699612493237299;-0.16480206355322488;-0.9477304811677951;-0.0077878685342573535;-0.9477304811677869;-0.007787868534254469;-0.06494983007062222;-0.16120246350952372
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.91;0.06804281635083852;-0.165505269794455;-0.9475325169204354;0.008578307561397486;-0.9475325169204252;0.008578307561401053;-0.06890403780164268;-0.1594615243969238
